epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1413.53,1.44545,1.08172,1.04998,0.76157,0.6123,0.6622,0.3759,1.315,0.86361,0.99501,0.000664931,0.000664931,0.000664931
2,2737.05,1.33427,0.89277,1.01722,0.72221,0.6238,0.65557,0.37618,1.31623,0.88973,1.00205,0.00119977,0.00119977,0.00119977
3,4226.5,1.29465,0.8554,1.00461,0.77479,0.6379,0.69445,0.41108,1.23475,0.80784,0.97973,0.00160261,0.00160261,0.00160261
4,5620.57,1.25038,0.82121,0.99207,0.79159,0.6534,0.70834,0.42981,1.1935,0.76351,0.9669,0.001406,0.001406,0.001406
5,6961.18,1.21928,0.7963,0.98567,0.80175,0.66984,0.72228,0.44078,1.15877,0.7396,0.95469,0.001208,0.001208,0.001208
6,8502.99,1.18356,0.76841,0.97621,0.8,0.66885,0.72985,0.45461,1.12209,0.72412,0.95324,0.00101,0.00101,0.00101
7,9863.86,1.15965,0.74594,0.96946,0.8175,0.67568,0.73605,0.45794,1.11444,0.70617,0.94614,0.000812,0.000812,0.000812
8,11858.8,1.13094,0.7235,0.96382,0.82238,0.68098,0.74467,0.47293,1.07045,0.68657,0.9379,0.000614,0.000614,0.000614
9,13297.6,1.10663,0.70512,0.95838,0.82054,0.68401,0.74689,0.47915,1.05469,0.6675,0.93475,0.000416,0.000416,0.000416
10,14710.8,1.08584,0.68459,0.95302,0.82259,0.68605,0.75425,0.48797,1.03494,0.6482,0.93127,0.000218,0.000218,0.000218
